ObjectID,RevisitID,Reporter,OccStatus,Status,RevisitDate,DateEnt,DateUp,Location,Latitude,Longitude,Datum,CoordAcc,Abundance,InfestAcre,GrossAcre,PercentCov,Density,Quantity,QuantityU,APPXQuant,NumCollect,Incidence,Severity,ManageStat,PopStat,RecBasis,UUID,RecSrcTyp,VisitType,PlantTreat,TreatComm,Comments,ReviewDate,Reviewer,VerifyMthd,Verified,IDCred,ReviewComm
"5251875","9424738","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.22312"," -71.60030",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251882","9388121","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-19,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.19283"," -71.52215",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"5251883","9424769","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21640"," -71.52342",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251884","9424766","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21636"," -71.52354",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251884","9424767","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21636"," -71.52354",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251885","9424768","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21623"," -71.52402",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251886","9424770","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21601"," -71.52497",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251887","9388128","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.22225"," -71.55764",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"5251888","9424740","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.22191"," -71.55836",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251889","9424737","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.22304"," -71.60001",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251890","9424730","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21920"," -71.59930",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251890","9424732","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21920"," -71.59930",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251891","9424736","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.21972"," -71.59946",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5251905","9388122","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.19283"," -71.52215",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"5252693","9424761","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Belknap, New Hampshire, United States","  43.44479"," -71.58461",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"5289362","9375813",Brian Finch Indiana Department of Natural Resources,Detected,Positive,06-18-19,06-18-19,06-18-19,"Dubois, Indiana, United States","  38.41113"," -86.69312",WGS84,,,0,,,,,,,,,,,,,,Web Report,Treatment,,,"A single Tree-of-Heaven plant was originally located in July of 2018. I revisited the site with a small amount of Pathfinder II. Pathfinder II is a ready-to-use oil-based formulation of triclopyr used for basal bark applications. I sprayed the roughly 2"" dbh stem in its entirety about 6-8"" above the root collar.I spent approximately 15 to 20 minutes attempting to locate any other plants. No other plants were found.",,,,Not Verified,,
"5289362","9378724",Brian Finch Indiana Department of Natural Resources,Undetected,Eradicated,07-20-19,07-20-19,07-20-19,"Dubois, Indiana, United States","  38.41113"," -86.69312",WGS84,,,0,,,,,,,,,,,,,,Web Report,Evaluation,,,Inspected site of treatment from June 2019. SIngle Tree-of-Heaven plant was treated with Pathfinder II. Pathfinder II is a ready-to-use oil-based formulation of triclopyr used for basal bark applications. The single tree was successfully treated. Time was spent again attempting to search for new sprouts. No further sprouts were found. Site should be followed up again in 2020. ,,,,Not Verified,,
"5290540","10487788",Chuck Bargeron University of Georgia,Detected,Positive,06-10-22,06-10-22,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test,,,,Not Verified,,
"5290540","10487789",Chuck Bargeron University of Georgia,Detected,Positive,06-10-22,06-10-22,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test,,,,Not Verified,,
"5290540","11352773",Chuck Bargeron University of Georgia,Detected,Positive,05-22-23,05-22-23,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test,,,,Not Verified,,
"5290540","11469040",Chuck Bargeron University of Georgia,Detected,Positive,07-27-23,07-27-23,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test,,,,Not Verified,,
"5290540","11469062",Chuck Bargeron University of Georgia,Detected,Positive,07-27-23,07-27-23,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test,,,,Not Verified,,
"5290540","11469064",Chuck Bargeron University of Georgia,Detected,Positive,07-27-23,07-27-23,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test,,,,Not Verified,,
"5290540","11469068",Chuck Bargeron University of Georgia,Detected,Positive,07-27-23,07-27-23,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test,,,,Not Verified,,
"5290540","11469082",Chuck Bargeron University of Georgia,Detected,Positive,07-27-23,07-27-23,,"Lee, Alabama, United States","  32.58242"," -85.42281",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,Test ,,,,Not Verified,,
"5784994","9388131","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.26333"," -71.55413",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"5785000","9388116","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-12-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.31360"," -71.58851",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"7388743","11327625","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Undetected,Negative,06-23-22,03-23-23,,"Carroll, New Hampshire, United States","  44.07469"," -71.28265",WGS84,,,,0.02,,,,,,,,,Not Found,,Human Observation,,Web Report,Evaluation,,,,,,,Verified,,
"7809022","9388123","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.19265"," -71.52224",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"7852556","9388129","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.22185"," -71.55803",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"7852557","9388130","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.22188"," -71.55827",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"7852558","9388127","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-09-18,09-09-19,09-09-19,"Merrimack, New Hampshire, United States","  43.22228"," -71.55756",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"8020386","9388114","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-03-19,09-09-19,09-09-19,"Belknap, New Hampshire, United States","  43.44481"," -71.58473",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"8020386","9388115","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,09-03-19,09-09-19,09-09-19,"Belknap, New Hampshire, United States","  43.44481"," -71.58473",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,,,,,Not Verified,,
"8166498","9624360",Brady O'Connell ,Detected,Positive,12-07-21,12-09-21,,"Macon, Illinois, United States","  39.87930"," -88.82700",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,,,,,Not Verified,,
"8167001","9387233",Ryan Hoff Private Landowner,Detected,Treated,08-19-19,08-22-19,08-22-19,"Perry, Pennsylvania, United States","  40.60468"," -76.98012",WGS84,,,,,,,,,,,,,,,,,Web Report,Treatment,,,"Treated with Pathbinder II via basal bark application. New shoots begin to emerge; keep mowed to control growth. Granddaddy tree was also treated, including exposed roots and associated shoots. First application was August 4, 2019. Second treatment on August 19, 2019. Photos at a later date. Granddaddy tree is showing yellow leaves. Hopefully will die soon.",,,,Not Verified,,
"8167001","9387297",Ryan Hoff Private Landowner,Detected,Treated,08-24-19,08-24-19,08-24-19,"Perry, Pennsylvania, United States","  40.60468"," -76.98012",WGS84,,,0.02,,,,,,,,,,,,,,Web Report,Treatment,,,Picture after 4 days of second treatment ,,,,Not Verified,,
"8167001","9387298",Ryan Hoff Private Landowner,Detected,Treated,08-24-19,08-24-19,08-24-19,"Perry, Pennsylvania, United States","  40.60468"," -76.98012",WGS84,,,0.02,,,,,,,,,,,,,,Web Report,Treatment,,,Picture after 4 days of second treatment ,,,,Not Verified,,
"8167737","9621180",Christofer Onopa Illinois Natural Survey,Undetected,Negative,11-19-21,11-20-21,,"Will, Illinois, United States","  41.49595"," -88.05289",WGS84,,,,,,,,,,,,,Not Found,,Human Observation,,Android,,,,,,,,Not Verified,,
"8167739","9621174",Christofer Onopa Illinois Natural Survey,Detected,Positive,11-19-21,11-20-21,,"Will, Illinois, United States","  41.49619"," -88.05848",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,Android,,,,,,,,Not Verified,,
"8167740","9621172",Christofer Onopa Illinois Natural Survey,Detected,Positive,11-19-21,11-20-21,,"Will, Illinois, United States","  41.49621"," -88.05914",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,Android,,,,,,,,Not Verified,,
"8167741","9621168",Christofer Onopa Illinois Natural Survey,Detected,Positive,11-19-21,11-20-21,,"Will, Illinois, United States","  41.50230"," -88.07802",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,Android,,,,,,,,Not Verified,,
"8167757","9615258",Christofer Onopa Illinois Natural Survey,Undetected,Negative,11-08-21,11-09-21,,"Kane, Illinois, United States","  41.73074"," -88.34608",WGS84,,,,,,,,,,,,,Not Found,,Human Observation,,Android,,,,,,,,Not Verified,,
"8169470","9414398",EDDMapS Website Reporter,Detected,Positive,09-06-20,09-06-20,09-06-20,"Wake, North Carolina, United States","  35.81976"," -78.82542",,,,,,,,,,,,,,,,,,Web Report,Monitoring,,,"Confirmed site position and observed (sight/smell) bark, trunk, and leaves from a closer viewpoint. ",,,,Not Verified,,
"8170272","9408632",Unassigned Project Reporter,Detected,Positive,07-20-20,07-20-20,07-20-20,"Wake, North Carolina, United States","  35.81568"," -78.84267",,,,,,,,,,,,,,,,,,Unknown,Monitoring,,,"Compared general appearance and changes over the last year. Observed presence of tiny insects in motion on bark. Observed tiny web threads on some branches. Observed trunk size and height. Observed turgor of leaves. Observed absence of flowers or seed pods. Observed presence and relative size of similar  trees & new saplings of same species isolated at this location. Scratched and smelled bark at several locations for future reference. Observed general soil moisture and absence of water flow in nearest drain channel. Observed other fauna and flora typical of the area at this time of year, ",,,,Not Verified,,
"8170272","9409333",EDDMapS Website Reporter,Detected,Positive,07-25-20,07-25-20,07-25-20,"Wake, North Carolina, United States","  35.81572"," -78.84264",,,,,,,,,,,,,,,,,,Web Report,Monitoring,,,"Observed most of the Ailanthus on this corner were seedless, but one tall exception had seed pods. This specimen with pods was approximately as tall as the nearby streetlight poles. ",,,,Not Verified,,
"8170272","9421341",EDDMapS Website Reporter,Detected,Positive,09-24-20,09-25-20,09-25-20,"Wake, North Carolina, United States","  35.81566"," -78.84266",,,,0.02,,,,,,,,,,,,,,Web Report,Monitoring,,,"Observed mature trees and looked for signs of spotted lanternflies on them. Observed these smaller saplings nearby that resemble the leaf patterns of the adults. Observed the naturally occurring leaf scars and also signs of landscape pruning among the limbs and branches of taller trees.  The distinct rancid nut odor, flowers, seeds,  and bark appearance were not discernable at observation time among the immature trees. ",,,,Not Verified,,
"8170272","9421395",Unassigned Project Reporter,Detected,Positive,09-27-20,09-27-20,09-27-20,"Wake, North Carolina, United States","  35.81565"," -78.84266",,,,,,,,,,,,,,,,,,Unknown,Evaluation,,,Observed loss of leaves and branches following severe weather (hail/thunderstorm),,,,Not Verified,,
"8170272","9424635",Unassigned Project Reporter,Detected,Positive,01-17-22,11-20-20,01-17-22,"Wake, North Carolina, United States","  35.81565"," -78.84267",WGS84,,,,,,,,,,,,,,,,,Unknown,Monitoring,,,Confirmed position. During this visit I was looking for ways to identify the tree in the absence of any leaves. Tell-tale leaf scarring and cantaloupe appearing bark distinguish this tree from others in the area.,,,,Not Verified,,
"8171050","9406093",Leslie Vargas ,Detected,Positive,07-02-20,07-06-20,,"DuPage, Illinois, United States","  41.80862"," -88.01041",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,This is a female.,,,,Not Verified,,
"8171051","9406095",Leslie Vargas ,Detected,Positive,07-02-20,07-06-20,,"DuPage, Illinois, United States","  41.80990"," -88.00326",WGS84,,,0.19,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Not Verified,,
"8171052","9406091",Leslie Vargas ,Detected,Positive,07-02-20,07-06-20,,"DuPage, Illinois, United States","  41.80973"," -87.97255",WGS84,,,0,,,<5%,,,,,,,,,,,iPhone,Monitoring,,Behind parking lot of pet supply plus,,,,,Not Verified,,
"8171052","9614674",Tricia Bethke The Morton Arboretum,Detected,Positive,11-06-21,11-06-21,,"DuPage, Illinois, United States","  41.80973"," -87.97255",WGS84,,,0,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8171055","10659537",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"Cook, Illinois, United States","  41.88929"," -87.91234",WGS84,,,0.94,,,,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8172340","10669207",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.78437"," -88.07452",WGS84,,,0.53,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8174751","9411397",Unassigned Project Reporter,Detected,Positive,08-23-20,08-23-20,08-23-20,"Wake, North Carolina, United States","  35.81926"," -78.82514",,,,,,,,,,,,,,,,,,Unknown,Monitoring,,,"Observed leaves, underside of leaves, branches and trunk. Noticed aroma. Observed absence of pods, seeds, or flowers. Confirmed position (36.81924/-78.82518)",,,,Not Verified,,
"8174751","9424636",Unassigned Project Reporter,Detected,Positive,11-21-20,11-21-20,11-21-20,"Wake, North Carolina, United States","  35.81928"," -78.82511",,,,,,,,,,,,,,,,,,Unknown,Evaluation,,,Confirmed position and  observed the presence of green foliage on this tree & the presence of the typical scars. The distinct odor of old peanuts was discernable close to this tree trunk in addition to the typical other odors at this site. ,,,,Not Verified,,
"8176465","9517084",Brady O'Connell ,Detected,Positive,09-08-21,09-08-21,,"Sangamon, Illinois, United States","  39.80332"," -89.59203",WGS84,,,0,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8176465","9618925",Brady O'Connell ,Detected,Positive,11-12-21,11-12-21,,"Sangamon, Illinois, United States","  39.80332"," -89.59203",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,,,,,Not Verified,,
"8176468","9624030",Brady O'Connell ,Detected,Positive,12-06-21,12-07-21,,"Fulton, Illinois, United States","  40.51692"," -89.91100",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,iPhone,,,,,,,,Not Verified,,
"8177811","9424774","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20959"," -71.53495",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177811","9424780","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20959"," -71.53495",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177812","9424772","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20975"," -71.53508",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177815","9424778","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20962"," -71.53467",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177816","9424775","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20969"," -71.53473",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177817","9424776","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20969"," -71.53473",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177819","9424753","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20995"," -71.53490",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177820","9424754","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20995"," -71.53490",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177822","9424752","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20993"," -71.53514",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177823","9424758","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20988"," -71.53480",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177826","9424755","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20995"," -71.53490",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177828","9424777","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20969"," -71.53473",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177829","9424756","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20995"," -71.53490",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177831","9424773","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20975"," -71.53508",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177832","9424759","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20984"," -71.53513",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177833","9424820","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Hillsborough, New Hampshire, United States","  43.00228"," -71.40305",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177836","9424779","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20962"," -71.53467",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177838","9424757","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20995"," -71.53490",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177839","9424821","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Hillsborough, New Hampshire, United States","  43.00225"," -71.40317",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177842","9424760","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.20984"," -71.53513",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8177853","9424822","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Hillsborough, New Hampshire, United States","  43.00225"," -71.40317",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8236292","9411394",Tricia Bethke The Morton Arboretum,Detected,Positive,08-21-20,08-21-20,,"Williamson, Illinois, United States","  37.61338"," -89.11552",WGS84,,,,,,,,,,,,,,,,,iPhone,,,,,,,,Not Verified,,
"8236301","9411395",Tricia Bethke The Morton Arboretum,Detected,Positive,08-21-20,08-21-20,,"Williamson, Illinois, United States","  37.62601"," -89.11474",WGS84,,,,,,,,,,,,,,,,,iPhone,,,,,,,,Not Verified,,
"8236325","9411393",Tricia Bethke The Morton Arboretum,Undetected,Eradicated,08-21-20,08-21-20,,"Williamson, Illinois, United States","  37.62574"," -89.12946",WGS84,,,,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Not Verified,,
"8255423","9424817","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.19267"," -71.52599",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8255425","9424816","Douglas Cygan New Hampshire Department of Agriculture, Markets & Food",Detected,Treated,12-07-20,12-07-20,12-07-20,"Merrimack, New Hampshire, United States","  43.19384"," -71.52583",,,,,,,,,,,,,,,,,,Unknown,Treatment,,,,,,,Not Verified,,
"8264867","10659752",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-23-22,,"DuPage, Illinois, United States","  41.88617"," -87.96202",WGS84,,,7.83,,,25-50%,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8264868","10661405",Jacob Cerminar USDA,Detected,Positive,08-23-22,08-24-22,,"DuPage, Illinois, United States","  41.88164"," -88.02861",WGS84,,,2.12,,,5-25%,,,,,,,,,,,iPhone,,,,,,,,Verified,,
"8264871","9615246",Christofer Onopa Illinois Natural Survey,Undetected,Negative,11-08-21,11-09-21,,"Kane, Illinois, United States","  41.75946"," -88.31129",WGS84,,,,,,,,,,,,,Not Found,,Human Observation,,Android,,,,,,,,Not Verified,,
"8266512","9406235",Leslie Vargas ,Detected,Positive,07-07-20,07-07-20,,"Cook, Illinois, United States","  41.63070"," -87.63100",WGS84,,,1.19,,,5-25%,,,,,,,,,,,iPhone,Monitoring,,,Five mature female trees,,,,Not Verified,,
"8267050","10669209",Jacob Cerminar USDA,Detected,Positive,09-01-22,09-01-22,,"DuPage, Illinois, United States","  41.79707"," -88.07754",WGS84,,,0.75,,,,,,,,,,,,,,iPhone,Monitoring,,,,,,,Verified,,
"8268386","9624347",Christofer Onopa Illinois Natural Survey,Undetected,Negative,12-08-21,12-09-21,,"Cook, Illinois, United States","  41.67557"," -88.00440",WGS84,,,,,,,,,,,,,Not Found,,Human Observation,,Android,,,,,,,,Not Verified,,
"8268387","9624353",Christofer Onopa Illinois Natural Survey,Undetected,Negative,12-08-21,12-09-21,,"Cook, Illinois, United States","  41.68626"," -87.97147",WGS84,,,,,,,,,,,,,Not Found,,Human Observation,,Android,,,,,,,,Not Verified,,
"8268789","9406613",Leslie Vargas ,Undetected,Eradicated,07-09-20,07-09-20,,"Cook, Illinois, United States","  41.68287"," -87.83549",WGS84,,,,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,Picture from original record does not match the site. No tree of heaven found in this point.,,,,Not Verified,,
"8268790","9406616",Leslie Vargas ,Detected,Positive,07-09-20,07-09-20,,"Cook, Illinois, United States","  41.67866"," -87.82068",WGS84,,,2.1,,,<5%,,,,,,,,,,,iPhone,Monitoring,,,"Some on residential property, most along the bike trail",,,,Not Verified,,
"8269618","9549841",Christofer Onopa Illinois Natural Survey,Detected,Positive,10-01-21,10-06-21,,"McHenry, Illinois, United States","  42.34598"," -88.26921",WGS84,,,,,,,,,,,,,Unknown,,Human Observation,,Android,,,,,,,,Not Verified,,
"8269634","9402604",Tricia Bethke The Morton Arboretum,Detected,Positive,06-25-20,06-25-20,,"Kane, Illinois, United States","  42.04108"," -88.29163",WGS84,,,33.67,,,5-25%,,,,,,,,,,,iPhone,,,,Tree of Heaven is all along the railroad.,,,,Not Verified,,
